Variable_micro_RENAMU,Label,Tipo,N_unicos,Valores,Bloque_tematico,Agregacion_sugerida,Macro_objetivo_ejemplo
per_052,Decreto Legislativo N° 728 / Obreros / Otros / Mujer,numeric,141,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_053,Decreto Legislativo N° 728 / Obreros / Otros / Hombre,numeric,261,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_054,Contrato Administrativo de Servicios (CAS) / Obreros / Otros / Mujer,numeric,73,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_055,Contrato Administrativo de Servicios (CAS) / Obreros / Otros / Hombre,numeric,114,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_097,Locación de Servicios / Obreros / Otros / Mujer,numeric,62,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_098,Locación de Servicios / Obreros / Otros / Hombre,numeric,116,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_056,Total personal / Personal de Vigilancia / Interna de los Locales Municipales,numeric,108,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_057,Decreto Legislativo N° 276 / Nombrado / Personal de Vigilancia / Interna de los,numeric,13,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_058,  Decreto Legislativo N° 276/ Nombrado/ Personal de Vigilancia / Interna de los,numeric,25,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_059,Decreto Legislativo N° 276 / Contratado/ Personal de Vigilancia / Interna de lo,numeric,13,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_060,Decreto Legislativo N° 276 / Contratado/ Personal de Vigilancia / Interna de lo,numeric,21,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_061,Decreto Legislativo N° 728 / Personal de Vigilancia / Interna de los Locales Mu,numeric,27,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_062,Decreto Legislativo N° 728 / Personal de Vigilancia / Interna de los Locales Mu,numeric,59,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_063,Contrato Administrativo de Servicios(CAS) / Personal de Vigilancia / Interna de,numeric,36,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_064,Contrato Administrativo de Servicios (CAS) / Personal de Vigilancia / Interna de,numeric,68,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_099,Locación de Servicios / Personal de Vigilancia / Efectivos de Serenazgo / Mujer,numeric,28,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_100,Locación de Servicios / Personal de Vigilancia / Efectivos de Serenazgo / Hombr,numeric,62,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_065,Total personal,numeric,790,,Recursos Humanos,"Suma/Total + tasa per cápita (por 1,000 hab.)",agg_personal_total_y_por_regimen
per_066,Decreto Legislativo N° 276 / Nombrado / Mujer,numeric,113,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_067,Decreto Legislativo N° 276 / Nombrado / Hombre,numeric,151,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_068,Decreto Legislativo N° 276 / Contratado / Mujer,numeric,115,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_069,Decreto Legislativo N° 276 / Contratado / Hombre,numeric,168,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_070,Decreto Legislativo N° 728 / Mujer,numeric,189,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_071,Decreto Legislativo N° 728 / Hombre,numeric,312,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_072,Contrato Administrativo de Servicios (CAS) / Mujer,numeric,285,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_073,Contrato Administrativo de Servicios (CAS) / Hombre,numeric,351,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_085,Locación de Servicios / Mujer,numeric,223,,Recursos Humanos,Proporción por sexo + Total,ratio_mujeres_personal
per_086,Locación de Servicios / Hombre,numeric,291,,Recursos Humanos,Proporción por sexo + Total,ratio_hombres_personal
per_074,,numeric,719,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_075,,numeric,103,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_076,,numeric,140,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_077,,numeric,106,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_078,,numeric,157,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_079,,numeric,173,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_080,,numeric,293,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_081,,numeric,265,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_082,,numeric,326,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_083,,numeric,205,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
per_084,,numeric,260,,Recursos Humanos,Suma/Media + normalización per cápita o por presupuesto,agg_personal_total_y_por_regimen
ing_01,ing_01,haven_labelled,1,No = 0; Sí = 1,Finanzas Municipales,Categoría ordinal/nominal → one-hot o score ordinal,ingresos_totales_y_composicion
ing_02,,numeric,7489,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_03,,numeric,7470,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_04,,numeric,4997,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_05,,numeric,4971,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_06,,numeric,2685,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_07,,numeric,612,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_08,,numeric,95,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_09,,numeric,138,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_10,,numeric,995,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_11,,numeric,567,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_12,,numeric,1121,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_13,,numeric,38,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_14,,numeric,6648,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_15,,numeric,4621,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_16,,numeric,887,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_17,,numeric,1771,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_18,,numeric,3082,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_19,,numeric,1319,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_20,,numeric,2344,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_21,,numeric,4044,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_22,,numeric,3127,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_23,,numeric,550,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_24,,numeric,72,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_25,,numeric,144,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_26,,numeric,1677,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_27,,numeric,700,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_28,,numeric,1085,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_29,,numeric,333,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_30,,numeric,1159,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_31,,numeric,3368,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_32,,numeric,3502,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_33,,numeric,2764,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_34,,numeric,7411,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_35,,numeric,5058,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_36,,numeric,7284,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_37,,numeric,3036,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_38,,numeric,447,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_39,,numeric,1936,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_40,,numeric,324,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_41,,numeric,160,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_42,,numeric,7476,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_43,,numeric,7119,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_44,,numeric,431,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_45,,numeric,324,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_46,,numeric,6333,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_47,,numeric,1983,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_48,,numeric,4664,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_49,,numeric,2165,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_50,,numeric,255,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_51,,numeric,6754,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_52,,numeric,1625,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_53,,numeric,6686,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_54,,numeric,6409,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_55,,numeric,4941,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_56,,numeric,7414,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_57,,numeric,2968,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
ing_58,,numeric,7367,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,ingresos_totales_y_composicion
gast_01,gast_01,haven_labelled,1,No = 0; Sí = 1,Finanzas Municipales,Categoría ordinal/nominal → one-hot o score ordinal,gasto_total_y_ratios_funcionales
gast_02,,numeric,7488,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_03,,numeric,7487,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_04,,numeric,7342,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_05,,numeric,6340,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_06,,numeric,7488,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_07,,numeric,1802,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_08,,numeric,3914,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_09,,numeric,7488,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_10,,numeric,7488,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_11,,numeric,20,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_12,,numeric,5407,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_13,,numeric,7419,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_14,,numeric,3885,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_15,,numeric,1052,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_16,,numeric,2187,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_17,,numeric,5089,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_18,,numeric,2678,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_19,,numeric,1341,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_20,,numeric,6227,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_21,,numeric,1871,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_22,,numeric,2885,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_23,,numeric,3093,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_24,,numeric,911,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_25,,numeric,7345,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_26,,numeric,318,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_27,,numeric,88,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
gast_28,,numeric,878,,Finanzas Municipales,Suma/Media + normalización per cápita o por presupuesto,gasto_total_y_ratios_funcionales
mod_3,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo Municipal C,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_4,Instrumento de gestión y desarrollo que dispone/ Plan Estratégico Instituciona,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_5,Instrumento de gestión y desarrollo que dispone/ Plan Estratégico Instituciona,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_6,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo Económico,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_7,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo Económico,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_8,Instrumento de gestión y desarrollo que dispone/ Plan de Acondicionamiento Terr,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_9,Instrumento de gestión y desarrollo que dispone/ Plan de Acondicionamiento Terr,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_10,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo Urbano,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_11,Instrumento de gestión y desarrollo que dispone /Plan de Desarrollo Urbano / Mo,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_12,Instrumento de gestión y desarrollo que dispone/ Esquema de Ordenamiento Urbano,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_13,Instrumento de gestión y desarrollo que dispone/ Esquema de Ordenamiento Urbano,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_14,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo Rural,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_15,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo Rural / Mot,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_16,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo de Capacida,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_17,Instrumento de gestión y desarrollo que dispone/ Plan de Desarrollo de Capacida,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_18,Instrumento de gestión y desarrollo que dispone/ Plan Local de Igualdad de Gén,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_19,Instrumento de gestión y desarrollo que dispone/ Plan Local de Igualdad de Gén,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_20,Instrumento de gestión y desarrollo que dispone/ Reglamento de Organización y,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_21,Instrumento de gestión y desarrollo que dispone/ Reglamento de Organización y,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_22,Instrumento de gestión y desarrollo que dispone/ Manual de Organización y Func,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_23,Instrumento de gestión y desarrollo que dispone Manual de Organización y Funci,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_24,Instrumento de gestión y desarrollo que dispone/ Cuadro de Asignación de Perso,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_25,Instrumento de gestión y desarrollo que dispone/ Cuadro de Asignación de Perso,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_26,Instrumento de gestión y desarrollo que dispone Manual de Procesos y Procedimie,haven_labelled,3,No informó = 0; Informó = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_27,Instrumento de gestión y desarrollo que dispone Manual de Procesos y Procedimie,haven_labelled,5,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_28,Instrumento de gestión y desarrollo que dispone/ Otro,haven_labelled,3,Si = 1; No = 2,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_29,Municipalidad,haven_labelled,2,No = 0; Sí = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_30,¿En la municipalidad tiene constituido el Consejo de Coordinación Local (CCL)?,haven_labelled,2," Sí y está actualizado = 1; Sí y esta desactualizado = 2; No tiene, porque está en proceso de implementación = 3; No tiene, porque desconoce cómo implementarlo = 4",Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_31,Miembros del CCL / Concejo Municipal Provincial/ Distrital/ Total,numeric,28,,Instrumentos de Gestión y Gobernanza,"Suma/Total + tasa per cápita (por 1,000 hab.)",indice_instrumentos_gestion_y_estado
mod_32,Miembros del CCL / Concejo Municipal Provincial/ Distrital /Mujer,numeric,13,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_33,Miembros del CCL / Concejo Municipal Provincial / Distrital /Hombre,numeric,26,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_34,Miembros del CCL/ Alcaldes Distritales/ Total,numeric,31,,Instrumentos de Gestión y Gobernanza,"Suma/Total + tasa per cápita (por 1,000 hab.)",indice_instrumentos_gestion_y_estado
mod_35,Miembros del CCL/ Alcaldes Distritales /Mujer,numeric,11,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_36,Miembros del CCL/ Alcaldes Distritales / Hombre,numeric,33,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_37,Miembros del CCL/ Alcaldes de Centros Poblados / Total,numeric,27,,Instrumentos de Gestión y Gobernanza,"Suma/Total + tasa per cápita (por 1,000 hab.)",indice_instrumentos_gestion_y_estado
mod_38,Miembros del CCL/ Alcaldes de Centros Poblados / Mujer,numeric,11,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_39,Miembros del CCL/ Alcaldes de Centros Poblados / Hombre,numeric,27,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_40,Miembros del CCL/ Representante de la Sociedad Civil/ Total,numeric,24,,Instrumentos de Gestión y Gobernanza,"Suma/Total + tasa per cápita (por 1,000 hab.)",indice_instrumentos_gestion_y_estado
mod_41,Miembros del CCL/ Representante de la Sociedad Civil/ Mujer,numeric,15,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_42,Miembros del CCL/ Representante de la Sociedad Civil/ Hombre,numeric,20,,Instrumentos de Gestión y Gobernanza,Proporción por sexo + Total,indice_instrumentos_gestion_y_estado
mod_43,Municipalidad,haven_labelled,2,No = 0; Sí = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_45,Actividades que ejecutó el Consejo de Coordinación Local / Realizó sesiones d,numeric,60,,Instrumentos de Gestión y Gobernanza,Suma/Media + normalización per cápita o por presupuesto,indice_instrumentos_gestion_y_estado
mod_49,Municipalidad,haven_labelled,2,No = 0; Sí = 1,Instrumentos de Gestión y Gobernanza,Categoría ordinal/nominal → one-hot o score ordinal,indice_instrumentos_gestion_y_estado
mod_50,¿La municipalidad tiene Texto Único de Procedimientos Administrativos (TUPA) s,haven_labelled,3,Falta aprobar por el Concejo Municipal = 1; En elaboración = 2; Falta de recursos para su elaboración = 3; Otro = 4,Instrumentos de Gestión y Gobernanza,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,indice_instrumentos_gestion_y_estado
mod_51,La municipalidad tiene Texto Único de Procedimientos Administrativos/ Número d,numeric,320,,Instrumentos de Gestión y Gobernanza,"Suma/Total + tasa per cápita (por 1,000 hab.)",indice_instrumentos_gestion_y_estado
